PPN,Seite,Fehler,Total,Fehlerquote,Erkennungsgenauigkeit,Fehlerquote Werk,Erkennungsgenauigkeit Werk
417576986,0012,116,744,15.59%,84.41%,,
417576986,0015,129,753,17.13%,82.87%,,
417576986,0031,137,1060,12.92%,87.08%,,
417576986,0078,356,1023,34.80%,65.20%,,
417576986,0145,457,1047,43.65%,56.35%,,
417576986,0201,365,1006,36.28%,63.72%,,
417576986,0206,200,1017,19.67%,80.33%,,
417576986,0459,444,994,44.67%,55.33%,,
417576986,0463,525,1001,52.45%,47.55%,,
417576986,0470,393,1069,36.76%,63.24%,32.14%,67.86%
417589220,0016,155,932,16.63%,83.37%,,
417589220,0043,183,893,20.49%,79.51%,,
417589220,0050,202,913,22.12%,77.88%,,
417589220,0257,410,908,45.15%,54.85%,,
417589220,0270,706,913,77.33%,22.67%,,
417589220,0312,497,1044,47.61%,52.39%,,
417589220,0313,492,940,52.34%,47.66%,40.42%,59.58%
419892079,0152,740,3541,20.90%,79.10%,,
419892079,0158,1589,3259,48.76%,51.24%,,
419892079,0395,1136,3687,30.81%,69.19%,,
419892079,0543,922,3771,24.45%,75.55%,,
419892079,0624,1,1,100.00%,0.00%,,
419892079,0630,1069,3587,29.80%,70.20%,30.58%,69.42%
425459462,0232,610,5163,11.81%,88.19%,,
425459462,0278,437,3736,11.70%,88.30%,,
425459462,0882,700,4647,15.06%,84.94%,,
425459462,0910,412,2989,13.78%,86.22%,,
425459462,1128,504,3769,13.37%,86.63%,13.12%,86.88%
426104676,0020,67,1146,5.85%,94.15%,,
426104676,0055,118,1123,10.51%,89.49%,,
426104676,0144,91,1087,8.37%,91.63%,,
426104676,0201,45,1072,4.20%,95.80%,,
426104676,0219,61,1139,5.36%,94.64%,6.86%,93.14%
426104951,0054,76,1085,7.00%,93.00%,,
426104951,0066,98,1154,8.49%,91.51%,,
426104951,0120,115,1105,10.41%,89.59%,,
426104951,0173,92,1066,8.63%,91.37%,,
426104951,0222,81,1059,7.65%,92.35%,8.45%,91.55%
434664219,0042,621,2227,27.89%,72.11%,,
434664219,0045,403,2229,18.08%,81.92%,,
434664219,0096,695,2238,31.05%,68.95%,,
434664219,0160,803,2250,35.69%,64.31%,,
434664219,0161,902,2266,39.81%,60.19%,30.54%,69.46%
434664219,0587,529,2238,23.64%,76.36%,,
434664219,0624,354,1504,23.54%,76.46%,,
